Código Olla Común;Nombre de las Ollas Comunes;Departamento;Provincia;Distrito;Referencia;Centro Poblado;Cocina;N° Beneficiarios;Estado
X1501030088;LUZ DE ESPERANZA DEL PORVENIR;LIMA;LIMA;ATE;;;Con balón de Gas;57;Transitado
X1501030089;LAS ESTRELLITAS;LIMA;LIMA;ATE;;;Con balón de Gas;21;Cancelado
X1501030090;LUZ DE ESPERANZA;LIMA;LIMA;ATE;;VITARTE;Con balón de Gas;0;Cancelado
X1501030091;LUZ DE ESPERANZA;LIMA;LIMA;ATE;;VITARTE;Con balón de Gas;74;Transitado
X1501030092;PARAISO;LIMA;LIMA;ATE;;VITARTE;Con balón de Gas;84;Transitado
X1501030093;MUJERES EMPRENDEDORAS;LIMA;LIMA;ATE;;VITARTE;Con balón de Gas;42;Transitado
X1501030094;GOTITAS DE AMOR;LIMA;LIMA;ATE;;VITARTE;Con balón de Gas;74;Transitado
X1501030095;SANTIAGO APOSTOL;LIMA;LIMA;ATE;;VITARTE;Con balón de Gas;76;Transitado
X1501040001;SAN JOSÉ OBRERO;LIMA;LIMA;BARRANCO;;BARRANCO;Ninguna;0;Cancelado
X1501050001;JOSEFINA VILLACORTA TORREJÓN;LIMA;LIMA;BREÑA;;;Con balón de Gas;52;Transitado
X1501050002;28 DE JULIO;LIMA;LIMA;BREÑA;;;Con balón de Gas;99;Cancelado
X1501050003;CORAZÓN DE MARÍA;LIMA;LIMA;BREÑA;;;Con balón de Gas;16;Activo
X1501050004;CRISTIANO;LIMA;LIMA;BREÑA;;;Con balón de Gas;33;Transitado
X1501060001;DIOS BENDICE;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;48;Transitado
X1501060002;CORAZÓN DE JESÚS;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;70;Transitado
X1501060003;MADRES LUCHADORAS;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;55;Transitado
X1501060004;SANTA BEATRIZ;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;50;Transitado
X1501060005;DIVINO JESUS;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;78;Transitado
X1501060006;ESTRELLITAS DE ALEGRÍA;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;38;Transitado
X1501060007;DIOS ES MI PROVEEDOR;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;50;Transitado
X1501060008;SANTA INÉS;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;68;Transitado
X1501060009;MUJERES SOLIDARIAS;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;60;Transitado
X1501060010;SOL NACIENTE;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;77;Inactivo
X1501060011;LAS ESTRELLITAS DE SOL NACIENTE;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;70;Transitado
X1501060012;ESPERANZA PARA LA FAMILIA;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;67;Transitado
X1501060013;MUJERES LUCHADORAS DE LOS PORTALES DEL SOL;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;66;Transitado
X1501060014;CLOTILDE ORTIZ;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;54;Transitado
X1501060015;LAS ARENILLAS DE PUNCHAUCA;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;48;Cancelado
X1501060016;LAS FLORES;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;80;Transitado
X1501060017;VILLA NAZARET;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;112;Transitado
X1501060018;MUJERES LUCHADORAS;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;21;Transitado
X1501060019;VILLA PRIMAVERA;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;74;Transitado
X1501060020;VALLE LAS PALMERAS;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;93;Transitado
X1501060021;EL MIRADOR DE LAS PALMERAS;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;37;Transitado
X1501060022;VILLA EL POLVORIN;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;50;Transitado
X1501060023;SANTA ROSA;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;63;Transitado
X1501060024;MADRES EMPODERADAS DE ALTO PERU;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;41;Inactivo
X1501060025;LOS ANGELES DE JESUS;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;74;Inactivo
X1501060026;HÉROES DE LA GUERRA;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;77;Transitado
X1501060027;ELIZABET TAYPE;LIMA;LIMA;CARABAYLLO;;;No tiene Cocina;31;Cancelado
X1501060028;MUJERES LUCHADORAS DE VILLA LAS MINAS;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;44;Transitado
X1501060029;LOS JARDINES DE LA QUEBRADA;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;81;Transitado
X1501060030;LOS CIPRESES;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;72;Transitado
X1501060031;VIRGEN SANTA MARGARITA;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;80;Transitado
X1501060032;MUJERES EMPRENDEDORAS DE SAN LORENZO;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;47;Transitado
X1501060033;MACHUPICHU;LIMA;LIMA;CARABAYLLO;;CARABAYLLO;Con balón de Gas;52;Cancelado
X1501060034;SANTA ROSA DE VILLA SEGUNDA ETAPA;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;56;Cancelado
X1501060035;TODOS SALIMOS ADELANTE;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;136;Transitado
X1501060036;FAMILIA LAS PALMERAS;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;48;Inactivo
X1501060037;LUZ DE ESPERANZA SAN MIGUEL ARCANGEL;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;40;Transitado
X1501060038;MUJERES VENCEDORAS DE NUEVO AMANECER;LIMA;LIMA;CARABAYLLO;;;No tiene Cocina;30;Cancelado
X1501060039;LUZ DE ESPERANZA N° 2;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;64;Transitado
X1501060040;MUJERES LUCHANDO POR EL BIENESTAR DE LA FAMILIA;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;40;Transitado
X1501060041;TODO LO PUEDO CON CRISTO;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;70;Transitado
X1501060042;MUJERES TRABAJADORAS;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;69;Transitado
X1501060043;LA SOLIDARIA DEL PARQUE REY;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;58;Transitado
X1501060044;LA COLINDANCIA;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;30;Inactivo
X1501060045;MADRE CORAJES DE LOMAS;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;42;Inactivo
X1501060046;CASA BLANCA;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;57;Transitado
X1501060047;NUEVO AMANECER DE TORRE BLANCA;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;58;Transitado
X1501060048;LOS CLAVELES;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;55;Transitado
X1501060049;SEÑOR DE LOS MILAGROS;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;63;Transitado
X1501060050;MUJERES UNIDAS JAMÁS VENCIDAS;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;47;Transitado
X1501060051;MI BUEN JESÚS;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;55;Transitado
X1501060052;NUEVA PRIMAVERA;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;34;Transitado
X1501060053;YANINA PALOMINO DE RIO SECO;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;58;Transitado
X1501060054;LEVANTEMOS LAS MANOS;LIMA;LIMA;CARABAYLLO;;;Ninguna;0;Cancelado
X1501060055;EL MIRADOR DE JULIO C. TELLO;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;38;Transitado
X1501060056;CORAZÓN DE JESÚS;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;63;Transitado
X1501060057;LA ENCANTADA;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;45;Transitado
X1501060058;VISTA HERMOSA;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;56;Transitado
X1501060059;PRIMAVERA;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;49;Inactivo
X1501060060;NUEVO AMANECER;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;75;Transitado
X1501060061;NUEVA ESPERANZA DE LOS JARDINES;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;75;Transitado
X1501060062;SAN LORENCITO;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;72;Transitado
X1501060063;MUJERES UNIDAS;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;77;Transitado
X1501060064;UNION Y FUERZA DE PRIMAVERA;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;54;Transitado
